Model,Accuracy,F1,AUC,Fold,Scenario
KNN,0.8518518518518519,0.8461538461538461,0.9120879120879121,17,D_Augment_2.0
KNN,0.8148148148148148,0.8148148148148148,0.7774725274725275,17,D_Augment_4.0
LR,0.8148148148148148,0.8148148148148148,0.8626373626373627,17,A_Baseline
LR,0.7407407407407407,0.7407407407407407,0.8076923076923077,17,B_Fidelity
LR,0.7407407407407407,0.6956521739130435,0.8571428571428572,17,C_Scale
LR,0.7777777777777778,0.7692307692307693,0.8571428571428571,17,D_Augment_0.5
LR,0.8148148148148148,0.8148148148148148,0.8626373626373627,17,D_Augment_1.0
LR,0.8518518518518519,0.8571428571428571,0.8351648351648352,17,D_Augment_2.0
LR,0.8888888888888888,0.8888888888888888,0.8956043956043956,17,D_Augment_4.0
RF,0.8888888888888888,0.896551724137931,0.9807692307692308,18,A_Baseline
RF,0.7777777777777778,0.7857142857142857,0.8736263736263736,18,B_Fidelity
RF,0.7407407407407407,0.72,0.8296703296703297,18,C_Scale
RF,0.9259259259259259,0.9285714285714286,0.9505494505494506,18,D_Augment_0.5
RF,0.8518518518518519,0.8666666666666667,0.9505494505494506,18,D_Augment_1.0
RF,0.8888888888888888,0.8888888888888888,0.9725274725274725,18,D_Augment_2.0
RF,0.8148148148148148,0.8275862068965517,0.8406593406593407,18,D_Augment_4.0
XGB,0.8148148148148148,0.8275862068965517,0.9615384615384616,18,A_Baseline
XGB,0.7407407407407407,0.7741935483870968,0.9175824175824177,18,B_Fidelity
XGB,0.6666666666666666,0.6666666666666666,0.7747252747252747,18,C_Scale
XGB,0.8888888888888888,0.896551724137931,0.9120879120879122,18,D_Augment_0.5
XGB,0.8148148148148148,0.8387096774193549,0.9285714285714286,18,D_Augment_1.0
XGB,0.7777777777777778,0.7857142857142857,0.7912087912087913,18,D_Augment_2.0
XGB,0.7777777777777778,0.7692307692307693,0.8626373626373626,18,D_Augment_4.0
KNN,0.8148148148148148,0.8275862068965517,0.8681318681318682,18,A_Baseline
KNN,0.6296296296296297,0.7058823529411765,0.6648351648351648,18,B_Fidelity
KNN,0.7777777777777778,0.8,0.8516483516483516,18,C_Scale
KNN,0.8518518518518519,0.8571428571428571,0.8818681318681318,18,D_Augment_0.5
KNN,0.8148148148148148,0.8,0.9203296703296703,18,D_Augment_1.0
KNN,0.7777777777777778,0.7857142857142857,0.9065934065934066,18,D_Augment_2.0
KNN,0.7777777777777778,0.7857142857142857,0.8351648351648352,18,D_Augment_4.0
